"Time","Subsystem #1|Substep|box|CTLs|Vars|Pload1","Subsystem #1|Substep|box|CTLs|Vars|Ppv1"
0.0,628.0155046,625.1284683
5.0E-5,616.4930715,625.0952093
1.0E-4,627.693494,625.1834784
1.5E-4,616.180354,625.1656908
2.0E-4,627.4537236,625.2687029
2.5E-4,615.9477898,625.2652483
3.0E-4,626.7600953,625.3818863
3.5E-4,615.2704344,625.3916368
4.0E-4,626.0881513,625.5208009
4.5E-4,614.6142887,625.542679
5.0E-4,627.3529043,625.6295505
5.5E-4,615.8457039,625.5994047
6.0E-4,628.9478528,625.6425806
6.5E-4,617.4013099,625.5724951
7.0E-4,630.4229944,625.5783485
7.5E-4,618.8399966,625.4721961
8.0E-4,631.2630638,625.4435074
8.5E-4,619.6570929,625.303553
9.0E-4,632.4607921,625.2423617
9.5E-4,620.8251558,625.070571
0.001,631.6814634,625.033171
0.00105,620.0663497,624.8961093
0.0011,631.0106553,624.886363
0.00115,619.4133469,624.7738509
0.0012,630.4421767,624.7867542
0.00125,618.8600948,624.6959118
0.0013,629.4359494,624.7294167
0.00135,617.877768,624.6585203
0.0014,630.8916556,624.6569325
0.00145,619.2973176,624.5404776
0.0015,629.8162439,624.5552826
0.00155,618.2475083,624.4686619
0.0016,629.3108398,624.5072217
0.00165,617.7558054,624.441674
0.0017,632.6691254,624.3866012
0.00175,621.0295053,624.2118407
0.0018,631.4227638,624.1762926
0.00185,619.8128867,624.0429684
0.0019,630.2300266,624.0378934
0.00195,618.648658,623.9303337
0.002,629.61116,623.9485112
0.00205,618.0463261,623.8629721
0.0021,629.0922591,623.9020169
0.00215,617.5414645,623.8366864
0.0022,628.6674597,623.8950316
0.00225,617.1283269,623.848464
0.0023,627.7949036,623.9247193
0.00235,616.2763599,623.8955307
0.0024,628.8527924,623.9342872
0.00245,617.3058165,623.8572755
0.0025,628.3739898,623.9102253
0.00255,616.8400806,623.8608735
0.0026,627.4587156,623.9354028
0.00265,615.9465485,623.9049275
0.0027,626.5788586,623.9966609
0.00275,615.0876236,623.9825267
0.0028,625.7325933,624.0896843
0.00285,614.2615499,624.0904384
0.0029,625.427562,624.2117385
0.00295,613.965556,624.226217
0.003,625.2049259,624.3605562
0.00305,613.7498919,624.3876978
0.0031,625.0596983,624.5340487
0.00315,613.6096681,624.5728554
0.0032,624.9871206,624.7302519
0.00325,613.5402436,624.7797854
0.0033,626.3722646,624.8935765
0.00335,614.8890047,624.8898602
0.0034,625.6588781,625.0126167
0.00345,614.1924614,625.0311386
0.0035,628.7772351,625.0576623
0.00355,617.2303268,624.9634696
0.0036,633.3547139,624.8289389
0.00365,621.6897892,624.5803987
0.0037,635.9839876,624.3667876
0.00375,624.2526595,624.0437119
0.0038,634.6390047,623.8680539
0.00385,622.94224,623.5990724
0.0039,637.1268048,623.3501096
0.00395,625.3669965,622.9856875
0.004,633.8202673,622.8183491
0.00405,622.1447651,622.5745279
0.0041,630.8392987,622.5088401
0.00415,619.2400599,622.3581042
0.0042,627.6391104,622.3791965
0.00425,616.1194259,622.3114569
0.0043,625.197382,622.4111039
0.00435,613.7407155,622.418976
0.0044,623.0323103,622.5902054
0.00445,611.631821,622.6669764
0.0045,621.1277285,622.9032802
0.00455,609.7769462,623.0426164
0.0046,622.7979876,623.2352803
0.00465,611.4037494,623.3050401
0.0047,622.8760784,623.4975091
0.00475,611.4811792,623.5834708
0.0048,624.4010337,623.7335982
0.00485,612.9662574,623.765804
0.0049,625.7298925,623.869852
0.00495,614.2600858,623.8594752
0.005,626.8738233,623.9234844
0.00505,615.373599,623.8742982
0.0051,627.8435592,623.9010614
0.00515,616.3172666,623.8154167
0.0052,629.1562037,623.8070832
0.00525,617.5975543,623.6870617
0.0053,630.3669012,623.6456461
0.00535,618.7783442,623.4932231
0.0054,631.4814258,623.420645
0.00545,619.8652423,623.2377071
0.0055,630.6364197,623.1903498
0.00555,619.0423478,623.0438231
0.0056,629.3794914,623.0259262
0.00565,617.8155686,622.905792
0.0057,626.8035484,622.9619834
0.00575,615.3059549,622.9305772
0.0058,624.5115036,623.0652568
0.00585,613.0732261,623.1071345
0.0059,624.4091304,623.2610723
0.00595,612.97466,623.3043586
0.006,624.3777148,623.4655227
0.00605,612.9452378,623.518428
0.0061,623.8759479,623.689672
0.00615,612.4549508,623.7527745
0.0062,625.300137,623.880037
0.00625,613.8417261,623.8895352
0.0063,626.5340067,623.9715507
0.00635,615.0429117,623.9395654
0.0064,629.470624,623.9240064
0.00645,617.9034148,623.7910718
0.0065,630.664711,623.7428231
0.00655,619.0679591,623.586147
0.0066,631.7633286,623.5103713
0.00665,620.1393355,623.3247401
0.0067,630.9035121,623.2749248
0.00675,619.3019904,623.1261118
0.0068,630.1579829,623.1060509
0.00685,618.5760746,622.9839134
0.0069,629.5202413,622.9885983
0.00695,617.9552345,622.8901969
0.007,627.0867591,622.9670367
0.00705,615.5843723,622.9556687
0.0071,626.8395557,623.0600561
0.00715,615.3443617,623.0559161
0.0072,626.1276569,623.1721968
0.00725,614.6490149,623.1817376
0.0073,625.4397218,623.3118358
0.00735,613.9771009,623.3351223
0.0074,625.3051263,623.4784125
0.00745,613.8470337,623.514578
0.0075,624.7076375,623.6700919
0.00755,613.2634041,623.718105
0.0076,624.1274811,623.8848134
0.00765,612.6967408,623.9436554
0.0077,623.5637204,624.1205692
0.00775,612.1461569,624.1892723
0.0078,625.4487211,624.3217797
0.00785,613.9846677,624.3365111
0.0079,627.1983784,624.4234768
0.00795,615.6910917,624.3965081
0.008,628.8200828,624.4444478
0.00805,617.2726276,624.3797647
0.0081,630.3209542,624.3915761
0.00815,618.7362222,624.2915946
0.0082,629.8197508,624.3236292
0.00825,618.2485086,624.2546355
0.0083,628.8721216,624.3104877
0.00835,617.3232903,624.2621487
0.0084,626.0488487,624.3860586
0.00845,614.5702223,624.4199286
0.0085,627.2760696,624.5126418
0.00855,615.7649458,624.4857431
0.0086,626.4223553,624.5854399
0.00865,614.9315534,624.581253
0.0087,627.5057619,624.6446003
0.00875,615.9861443,624.5921398
0.0088,630.8067205,624.5557797
0.00885,619.2042571,624.4022217
0.0089,631.9149935,624.3338081
0.00895,620.2851325,624.1574841
0.009,631.0585419,624.1170634
0.00905,619.4511536,623.9777648
0.0091,631.6720113,623.9121827
0.00915,620.0472281,623.7339632
0.0092,632.6570346,623.6356675
0.00925,621.0078059,623.4273869
0.0093,631.6944354,623.3555508
0.00935,620.0702325,623.1852951
0.0094,630.3277616,623.1446727
0.00945,618.7364283,623.0026078
0.0095,627.1336206,623.0378695
0.00955,615.6217878,622.9863422
0.0096,620.316585,623.1861443
0.00965,608.9766986,623.3408927
0.0097,617.9542849,623.6373108
0.00975,606.6735869,623.8284384
0.0098,617.7357448,624.1209214
0.00985,606.460076,624.2969023
0.0099,619.4526585,624.5299667
0.00995,608.1329204,624.6418674
0.01,620.963639,624.8216779
0.01005,609.6049373,624.8853325
0.0101,622.7604904,625.020224
0.01015,611.3579807,625.0405787
0.0102,626.326607,625.0755743
0.01025,614.8351122,624.9927398
0.0103,627.6683929,624.9927162
0.01035,616.1441042,624.8835169
0.0104,628.9067835,624.8531604
0.01045,617.3521705,624.7120594
0.0105,630.0477497,624.6501612
0.01055,618.4651249,624.4777858
0.0106,629.2199958,624.440104
0.01065,617.6593173,624.3028769
0.0107,628.505213,624.2932794
0.01075,616.963653,624.1810348
0.0108,627.8969707,624.1945116
0.01085,616.3718456,624.1043458
0.0109,627.3890551,624.1388324
0.01095,615.877833,624.0690436
0.011,626.975549,624.1230063
0.01105,615.4758441,624.072151
0.0111,626.6508306,624.1442077
0.01115,615.1603958,624.1109494
0.0112,622.5610576,624.2935292
0.01125,611.175578,624.4058458
0.0113,620.8476154,624.6691176
0.01135,609.5070923,624.8314366
0.0114,620.7804363,625.0973154
0.01145,609.4407004,625.2480143
0.0115,621.2329729,625.5100755
0.01155,609.8833113,625.6604924
0.0116,623.1255834,625.8701937
0.01165,611.7269692,625.9601791
0.0117,624.799504,626.1188317
0.01175,613.3573379,626.1621417
0.0118,628.1749954,626.2189526
0.01185,616.645903,626.1579221
0.0119,631.1336821,626.1202196
0.01195,619.5279286,625.9688202
0.012,633.6994354,625.8444425
0.01205,622.0267089,625.6078028
0.0121,634.547787,625.4599879
0.01215,622.854075,625.2062527
0.0122,633.4539581,625.0911296
0.01225,621.7886133,624.8788803
0.0123,631.9703361,624.7973476
0.01235,620.3408339,624.6152042
0.0124,629.1743468,624.6113228
0.01245,617.616725,624.5214279
0.0125,626.6743219,624.5995118
0.01255,615.1812685,624.5863209
0.0126,624.4532604,624.7362028
0.01265,613.0178516,624.7917713
0.0127,624.4278837,624.9574304
0.01275,612.9944679,625.0116148
0.0128,625.8584041,625.1284171
0.01285,614.3874871,625.1270793
0.0129,628.9912208,625.1394719
0.01295,617.4393482,625.0337003
0.013,629.8461903,625.0112014
0.01305,618.2710168,624.8798342
0.0131,630.5428693,624.8280375
0.01315,618.9483628,624.6659003
0.0132,631.0907277,624.583708
0.01325,619.4806125,624.3914116
0.0133,629.6258342,624.3345833
0.01335,618.0513037,624.178626
0.0134,626.8260848,624.2007435
0.01345,615.3238046,624.1362981
0.0135,624.3237495,624.23888
0.01355,612.8863705,624.2493369
0.0136,622.1017641,624.4218323
0.01365,610.7223264,624.4991467
0.0137,616.2183399,624.8181209
0.01375,604.9900249,625.0846858
0.0138,616.8512908,625.4354316
0.01385,605.6089695,625.661541
0.0139,619.4682565,625.9391911
0.01395,608.1615562,626.0933326
0.014,623.836899,626.2548722
0.01405,612.4210572,626.2959751
0.0141,625.9016802,626.4151813
0.01415,614.4348169,626.4233162
0.0142,629.1942088,626.4474423
0.01425,617.6424271,626.3547801
0.0143,630.1887801,626.3451795
0.01435,618.6102024,626.2268475
0.0144,631.0158905,626.1873197
0.01445,619.4147128,626.0373103
0.0145,631.6855431,625.9663812
0.01455,620.0657035,625.7851577
0.0146,630.8289454,625.7384304
0.01465,619.2317558,625.5922096
0.0147,630.0858886,625.5733465
0.01475,618.508532,625.4518395
0.0148,627.5433666,625.5052341
0.01485,616.0316496,625.4703316
0.0149,627.2024202,625.5506617
0.01495,615.7005362,625.5224273
0.015,626.4233483,625.6142081
0.01505,614.939953,625.5992811
0.0151,625.6714738,625.7045741
0.01515,614.205954,625.7031096
0.0152,624.945348,625.8213333
0.01525,613.4971541,625.832449
0.0153,626.6629603,625.9088378
0.01535,615.1725682,625.868399
0.0154,626.345924,625.9554684
0.01545,614.8648955,625.939022
0.0155,624.1820466,626.0930445
0.01555,612.7573472,626.1555616
0.0156,624.2197184,626.328233
0.01565,612.7955634,626.3893396
0.0157,629.5283382,626.3911015
0.01575,617.9681958,626.2715842
0.0158,632.3104371,626.1810978
0.01585,620.6779684,625.9791642
0.0159,634.7091925,625.8061814
0.01595,623.0138559,625.5215764
0.016,635.4042791,625.3272802
0.01605,623.6917466,625.0276718
0.0161,630.4060935,624.9633177
0.01615,618.8212204,624.8404876
0.0162,627.7975321,624.8820571
0.01625,616.2799625,624.8313019
0.0163,625.4744799,624.9445632
0.01635,614.0170866,624.9642364
0.0164,621.4745084,625.1889609
0.01645,610.1200079,625.3379193
0.0165,621.8105638,625.584812
0.01655,610.4491857,625.7141126
0.0166,624.1285292,625.900926
0.01665,612.7098428,625.9671382
0.0167,625.7490075,626.1023283
0.01675,614.2880402,626.1221885
0.0168,627.1658388,626.2144114
0.01685,615.6676366,626.1929127
0.0169,630.2873374,626.1870651
0.01695,618.7084346,626.0640802
